Seção%Divisão%Grupo%Classe%Denominação
A%01%01.1%01.11-3%Cultivo de cereais
A%01%01.1%01.12-1%Cultivo de algodão herbáceo e de outras fibras de lavoura temporária
A%01%01.1%01.13-0%Cultivo de cana-de-açúcar
A%01%01.1%01.14-8%Cultivo de fumo
A%01%01.1%01.15-6%Cultivo de soja
A%01%01.1%01.16-4%Cultivo de oleaginosas de lavoura temporária, exceto soja
A%01%01.1%01.19-9%Cultivo de plantas de lavoura temporária não especificadas anteriormente
A%01%01.2%01.21-1%Horticultura
A%01%01.2%01.22-9%Cultivo de flores e plantas ornamentais
A%01%01.3%01.31-8%Cultivo de laranja
A%01%01.3%01.32-6%Cultivo de uva
A%01%01.3%01.33-4%Cultivo de frutas de lavoura permanente, exceto laranja e uva
A%01%01.3%01.34-2%Cultivo de café
A%01%01.3%01.35-1%Cultivo de cacau
A%01%01.3%01.39-3%Cultivo de plantas de lavoura permanente não especificadas anteriormente
A%01%01.4%01.41-5%Produção de sementes certificadas
A%01%01.4%01.42-3%Produção de mudas e outras formas de propagação vegetal, certificadas
A%01%01.5%01.51-2%Criação de bovinos
A%01%01.5%01.52-1%Criação de outros animais de grande porte
A%01%01.5%01.53-9%Criação de caprinos e ovinos
A%01%01.5%01.54-7%Criação de suínos
A%01%01.5%01.55-5%Criação de aves
A%01%01.5%01.59-8%Criação de animais não especificados anteriormente
A%01%01.6%01.61-0%Atividades de apoio à agricultura
A%01%01.6%01.62-8%Atividades de apoio à pecuária
A%01%01.6%01.63-6%Atividades de pós-colheita
A%01%01.7%01.70-9%Caça e serviços relacionados
A%02%02.1%02.10-1%Produção florestal - florestas plantadas
A%02%02.2%02.20-9%Produção florestal - florestas nativas
A%02%02.3%02.30-6%Atividades de apoio à produção florestal
A%03%03.1%03.11-6%Pesca em água salgada
A%03%03.1%03.12-4%Pesca em água doce
A%03%03.2%03.21-3%Aqüicultura em água salgada e salobra
A%03%03.2%03.22-1%Aqüicultura em água doce
B%05%05.0%05.00-3%Extração de carvão mineral
B%06%06.0%06.00-0%Extração de petróleo e gás natural
B%07%07.1%07.10-3%Extração de minério de ferro
B%07%07.2%07.21-9%Extração de minério de alumínio
B%07%07.2%07.22-7%Extração de minério de estanho
B%07%07.2%07.23-5%Extração de minério de manganês
B%07%07.2%07.24-3%Extração de minério de metais preciosos
B%07%07.2%07.25-1%Extração de minerais radioativos
B%07%07.2%07.29-4%Extração de minerais metálicos não-ferrosos não especificados anteriormente
B%08%08.1%08.10-0%Extração de pedra, areia e argila
B%08%08.9%08.91-6%Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos
B%08%08.9%08.92-4%Extração e refino de sal marinho e sal-gema
B%08%08.9%08.93-2%Extração de gemas (pedras preciosas e semipreciosas)
B%08%08.9%08.99-1%Extração de minerais não-metálicos não especificados anteriormente
B%09%09.1%09.10-6%Atividades de apoio à extração de petróleo e gás natural
B%09%09.9%09.90-4%Atividades de apoio à extração de minerais, exceto petróleo e gás natural
C%10%10.1%10.11-2%Abate de reses, exceto suínos
C%10%10.1%10.12-1%Abate de suínos, aves e outros pequenos animais
C%10%10.1%10.13-9%Fabricação de produtos de carne
C%10%10.2%10.20-1%Preservação do pescado e fabricação de produtos do pescado
C%10%10.3%10.31-7%Fabricação de conservas de frutas
C%10%10.3%10.32-5%Fabricação de conservas de legumes e outros vegetais
C%10%10.3%10.33-3%Fabricação de sucos de frutas, hortaliças e legumes
C%10%10.4%10.41-4%Fabricação de óleos vegetais em bruto, exceto óleo de milho
C%10%10.4%10.42-2%Fabricação de óleos vegetais refinados, exceto óleo de milho
C%10%10.4%10.43-1%Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais
C%10%10.5%10.51-1%Preparação do leite
C%10%10.5%10.52-0%Fabricação de laticínios
